date,qty,base_price
2018-01-01,0.0,22
2018-01-02,5.0,22
2018-01-03,0.0,22
2018-01-04,6.0,22
2018-01-05,1.0,22
2018-01-06,1.0,22
2018-01-07,4.0,22
2018-01-08,5.0,22
2018-01-09,2.0,22
2018-01-10,1.0,22
2018-01-11,4.0,22
2018-01-12,7.0,22
2018-01-13,8.0,22
2018-01-14,3.0,22
2018-01-15,11.0,22
2018-01-16,6.0,22
2018-01-17,1.0,22
2018-01-18,6.0,22
2018-01-19,6.0,22
2018-01-20,7.0,22
2018-01-21,2.0,22
2018-01-22,7.0,22
2018-01-23,8.0,22
2018-01-24,4.0,22
2018-01-25,1.0,22
2018-01-26,0.0,22
2018-01-27,8.0,22
2018-01-28,6.0,22
2018-01-29,0.0,22
2018-01-30,3.0,22
2018-01-31,5.0,22
2018-02-01,6.0,22
2018-02-02,17.0,22
2018-02-03,3.0,22
2018-02-04,1.0,22
2018-02-05,8.0,22
2018-02-06,3.0,22
2018-02-07,4.0,22
2018-02-08,0.0,22
2018-02-09,6.0,22
2018-02-10,5.0,22
2018-02-11,9.0,22
2018-02-12,7.0,22
2018-02-13,4.0,22
2018-02-14,0.0,22
2018-02-15,0.0,22
2018-02-16,8.0,22
2018-02-17,3.0,22
2018-02-18,1.0,22
2018-02-19,5.0,22
2018-02-20,2.0,22
2018-02-21,3.0,22
2018-02-22,3.0,22
2018-02-23,7.0,22
2018-02-24,5.0,22
2018-02-25,10.0,22
2018-02-26,12.0,22
2018-02-27,3.0,22
2018-02-28,6.0,22
2018-03-01,1.0,22
2018-03-02,10.0,22
2018-03-03,10.0,22
2018-03-04,11.0,22
2018-03-05,0.0,22
2018-03-06,6.0,22
2018-03-07,2.0,22
2018-03-08,5.0,22
2018-03-09,7.0,22
2018-03-10,7.0,22
2018-03-11,9.0,22
2018-03-12,5.0,22
2018-03-13,4.0,22
2018-03-14,6.0,22
2018-03-15,5.0,22
2018-03-16,1.0,22
2018-03-17,6.0,22
2018-03-18,8.0,22
2018-03-19,2.0,22
2018-03-20,3.0,22
2018-03-21,0.0,22
2018-03-22,5.0,22
2018-03-23,4.0,22
2018-03-24,3.0,22
2018-03-25,1.0,22
2018-03-26,2.0,22
2018-03-27,5.0,22
2018-03-28,2.0,22
2018-03-29,3.0,22
2018-03-30,11.0,22
2018-03-31,8.0,22
2018-04-01,2.0,22
2018-04-02,9.0,22
2018-04-03,5.0,22
2018-04-04,11.0,22
2018-04-05,6.0,22
2018-04-06,3.0,22
2018-04-07,6.0,22
2018-04-08,0.0,22
2018-04-09,4.0,22
2018-04-10,0.0,22
2018-04-11,0.0,22
2018-04-12,1.0,22
2018-04-13,0.0,22
2018-04-14,3.0,22
2018-04-15,2.0,22
2018-04-16,1.0,22
2018-04-17,8.0,22
2018-04-18,1.0,22
2018-04-19,1.0,22
2018-04-20,5.0,22
2018-04-21,6.0,22
2018-04-22,5.0,22
2018-04-23,8.0,22
2018-04-24,5.0,22
2018-04-25,2.0,22
2018-04-26,7.0,22
2018-04-27,0.0,22
2018-04-28,6.0,22
2018-04-29,3.0,22
2018-04-30,3.0,22
2018-05-01,5.0,22
2018-05-02,3.0,22
2018-05-03,0.0,22
2018-05-04,2.0,22
2018-05-05,9.0,22
2018-05-06,8.0,22
2018-05-07,8.0,22
2018-05-08,1.0,22
2018-05-09,5.0,22
2018-05-10,5.0,22
2018-05-11,1.0,22
2018-05-12,2.0,22
2018-05-13,1.0,22
2018-05-14,5.0,22
2018-05-15,4.0,22
2018-05-16,5.0,22
2018-05-17,3.0,22
